Service,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
General public services,37.2,38.7,36.1,35.5,38.7,43.0,46.1,48.5,51.4,55.4,50.4,63.0,63.7,59.4,60.8,58.6,58.7
Public and common services,8.0,7.9,9.2,9.8,10.9,12.1,12.8,12.7,12.5,14.0,13.8,12.8,11.5,11.3,11.3,11.7,11.8
International services,3.7,4.2,4.3,4.5,5.1,5.5,6.2,6.3,6.7,6.4,7.1,7.8,7.7,7.7,9.8,10.5,10.1
Public sector debt interest,25.5,26.6,22.6,21.2,22.7,25.4,27.1,29.5,32.2,35.0,29.5,42.4,44.5,40.4,39.7,36.5,36.7
Defence,25.1,25.7,25.4,27.0,28.8,29.8,31.0,32.2,33.7,36.8,37.7,39.3,38.7,36.3,36.4,36.7,36.6
Public order and safety,18.4,20.4,23.1,24.4,26.4,28.5,29.3,30.4,31.7,33.7,34.1,33.1,32.1,31.3,29.6,29.6,30.2
Economic affairs,21.5,23.8,27.7,30.7,33.1,33.6,35.3,37.5,37.4,49.7,48.7,40.0,36.8,35.0,38.0,38.2,45.1
Enterprise and economic development,4.4,4.9,5.1,5.9,6.0,6.5,6.4,6.3,7.1,16.2,12.2,4.9,4.8,5.0,5.7,5.1,5.3
Science and technology,1.4,1.4,1.7,2.1,2.3,2.5,3.0,2.9,3.3,3.2,3.6,3.4,3.6,3.3,4.2,4.5,4.8
Employment policies,3.5,3.8,3.3,3.0,3.2,3.2,3.3,3.3,2.1,3.5,4.1,4.7,3.2,2.9,3.7,3.1,2.4
"Agriculture, fisheries and forestry",4.3,4.7,6.3,4.9,5.3,5.4,5.6,5.1,4.3,5.8,5.8,5.5,5.8,5.3,5.4,5.2,4.5
Transport,7.9,9.0,11.3,14.8,16.3,16.0,17.0,19.9,20.6,21.0,23.0,21.5,19.4,18.5,19.1,20.3,28.1
Environment protection,4.9,5.1,5.4,6.0,6.2,7.0,8.5,9.4,9.6,9.2,10.4,10.9,10.5,10.7,11.2,11.6,11.6
Housing and community amenities,4.7,5.5,6.2,5.4,6.7,8.0,10.7,11.5,13.0,15.3,16.3,13.3,10.2,10.0,9.8,10.2,10.0
Health,49.4,54.2,59.8,66.2,74.9,82.9,89.8,94.7,101.1,108.7,116.9,119.9,121.3,124.3,129.4,134.1,138.7
"Recreation, culture and religion",7.7,7.8,8.6,9.3,9.7,10.0,10.8,11.4,11.9,12.4,13.2,13.0,12.5,12.7,11.4,12.4,11.4
Education,42.2,45.9,51.2,54.7,61.0,65.1,69.8,73.0,78.7,83.0,88.5,91.5,86.5,84.2,85.3,85.7,84.0
Social protection,123.0,128.5,137.4,145.3,155.6,164.1,171.0,177.0,188.6,203.4,223.0,230.4,244.8,253.4,254.0,260.9,264.2
EU transactions,-2.7,-2.6,-4.8,-1.9,-2.1,-0.9,-0.6,-1.8,-1.5,-2.9,0.9,5.9,4.3,6.7,7.2,6.2,7.7
Total Managed Expenditure,352.6,374.8,399.6,431.8,467.8,509.8,542.6,569.3,604.0,658.5,692.5,714.1,715.1,730.8,735.9,746.6,753.0
