1.1,"Executive and legislative organs, financial and fiscal affairs, external affairs"
1.2,Foreign economic aid
1.3,General services
1.4,Basic research
1.5,R&D general public services
1.6,General public services n.e.c.
1.7,Public sector debt interest
2.1,Military defence
2.2,Civil defence
2.3,Foreign military aid
2.4,R&D defence
2.5,Defence n.e.c
3.1,Police services
3.1.a,Police services: immigration and citizenship
3.1.b,Police services: other police services
3.2,Fire-protection services
3.3,Law courts
3.4,Prisons
3.5,R&D public order and safety
3.6,Public order and safety n.e.c.
4.1,"General economic, commercial and labour affairs "
4.2,"Agriculture, forestry, fishing and hunting"
4.2.a,"Agriculture, forestry, fishing and hunting: market support under CAP"
4.2.b,"Agriculture, forestry, fishing and hunting: other agriculture, food and fisheries policy"
4.2.c,"Agriculture, forestry, fishing and hunting: forestry"
4.3,Fuel and energy
4.4,"Mining, manufacturing and construction"
4.5,Transport
4.5.a,Transport: national roads
4.5.b,Transport: local roads
4.5.c,Transport: local public transport
4.5.d,Transport: railway (3)
4.5.e,Transport: other transport
4.6,Communication
4.7,Other industries
4.8,R&D economic affairs
4.9,Economic affairs n.e.c
5.1,Waste management
5.2,Waste water management
5.3,Pollution abatement
5.4,Protection of biodiversity and landscape
5.5,R&D environment protection
5.6,Environment protection n.e.c
6.1,Housing development
6.1.a,Housing development: local authority housing
6.1.b,Housing development: other social housing
6.2,Community development
6.3,Water supply
6.4,Street lighting
6.5,R&D housing and community amenities
6.6,Housing and community amenities n.e.c
7.1,Medical services
7.2,Medical research
7.3,Central and other health services
8.1,Recreational and sporting services
8.2,Cultural services
8.3,Broadcasting and publishing services
8.4,Religious and other community services
8.5,"R&D recreation, culture and religion"
8.6,"Recreation, culture and religion n.e.c"
9.1,Pre-primary and primary education
9.1.a,Pre-primary and primary education: under fives
9.1.b,Pre-primary and primary education: primary education
9.2,Secondary education
9.3,Post-secondary non-tertiary education
9.4,Tertiary education
9.5,Education not definable by level
9.6,Subsidiary services to education
9.7,R&D education
9.8,Education n.e.c
10,Social Protection
10.1,Sickness and disability
10.1.a,Sickness and disability: personal social services
10.1.b,"Sickness and disability: incapacity, disability and injury benefits"
10.2,Old age
10.2.a, Old age: personal social services
10.2.b, Old age: pensions
10.3,Survivors
10.4,Family and children
10.4.a,Family and Children: personal social services
10.4.b,"Family and Children: family benefits, income support and tax credits"
10.5,Unemployment 
10.5.a,Unemployment: personal social services
10.5.b,Unemployment: other unemployment benefits
10.6,Housing
10.7,Social exclusion n.e.c.
10.7.a, Social exclusion: Personal social services
10.7.b," Social exclusion: Family benefits, income support and tax credits"
10.8,R&D Social protection
10.9,Social protection n.e.c.
